Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 74] Train-acc: 0.940, loss: 0.148 | Test-acc: 0.838 | time: 4.3 | Speed: 507.47 samples/sec | lr: 0.00017798
[Epoch 75] Train-acc: 0.944, loss: 0.147 | Test-acc: 0.833 | time: 4.4 | Speed: 498.73 samples/sec | lr: 0.00017798
[Epoch 76] Train-acc: 0.942, loss: 0.138 | Test-acc: 0.835 | time: 4.5 | Speed: 494.26 samples/sec | lr: 0.00017798
[Epoch 77] Train-acc: 0.936, loss: 0.156 | Test-acc: 0.835 | time: 4.5 | Speed: 486.51 samples/sec | lr: 0.00017798
[Epoch 78] Train-acc: 0.940, loss: 0.155 | Test-acc: 0.826 | time: 4.5 | Speed: 491.22 samples/sec | lr: 0.00017798
[Epoch 79] Train-acc: 0.930, loss: 0.164 | Test-acc: 0.829 | time: 4.6 | Speed: 478.12 samples/sec | lr: 0.00017798
[Epoch 80] Train-acc: 0.942, loss: 0.147 | Test-acc: 0.831 | time: 4.5 | Speed: 485.17 samples/sec | lr: 0.00017798
[Epoch 81] Train-acc: 0.943, loss: 0.140 | Test-acc: 0.835 | time: 4.5 | Speed: 492.78 samples/sec | lr: 0.00017798
[Epoch 82] Train-acc: 0.950, loss: 0.135 | Test-acc: 0.835 | time: 4.7 | Speed: 469.79 samples/sec | lr: 0.00017798
[Epoch 83] Train-acc: 0.940, loss: 0.148 | Test-acc: 0.836 | time: 4.4 | Speed: 499.36 samples/sec | lr: 0.00017798
[Epoch 84] Train-acc: 0.942, loss: 0.157 | Test-acc: 0.845 | time: 4.5 | Speed: 488.15 samples/sec | lr: 0.00017798
[Epoch 85] Train-acc: 0.946, loss: 0.140 | Test-acc: 0.845 | time: 4.6 | Speed: 479.81 samples/sec | lr: 0.00017798
[Epoch 86] Train-acc: 0.947, loss: 0.140 | Test-acc: 0.836 | time: 4.5 | Speed: 493.39 samples/sec | lr: 0.00017798
[Epoch 87] Train-acc: 0.935, loss: 0.168 | Test-acc: 0.829 | time: 4.4 | Speed: 496.20 samples/sec | lr: 0.00017798
[Epoch 88] Train-acc: 0.941, loss: 0.144 | Test-acc: 0.842 | time: 4.7 | Speed: 468.89 samples/sec | lr: 0.00017798
[Epoch 89] Train-acc: 0.951, loss: 0.135 | Test-acc: 0.835 | time: 4.5 | Speed: 488.96 samples/sec | lr: 0.00017798
[Epoch 90] Train-acc: 0.942, loss: 0.158 | Test-acc: 0.822 | time: 4.6 | Speed: 483.23 samples/sec | lr: 0.00017798
[Epoch 91] Train-acc: 0.948, loss: 0.129 | Test-acc: 0.842 | time: 4.4 | Speed: 496.36 samples/sec | lr: 0.00017798
[Epoch 92] Train-acc: 0.946, loss: 0.134 | Test-acc: 0.836 | time: 4.5 | Speed: 489.74 samples/sec | lr: 0.00017798
[Epoch 93] Train-acc: 0.946, loss: 0.137 | Test-acc: 0.838 | time: 4.5 | Speed: 488.73 samples/sec | lr: 0.00017798
