Namespace(batch_size=32, input_sz=224, lr=0.001, lr_factor=0.75, model='mobilenet0.5', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 74] Train-acc: 0.713, loss: 0.550 | Test-acc: 0.700 | time: 6.5 | Speed: 338.35 samples/sec | lr: 0.00017798
[Epoch 75] Train-acc: 0.702, loss: 0.573 | Test-acc: 0.736 | time: 6.7 | Speed: 330.46 samples/sec | lr: 0.00017798
[Epoch 76] Train-acc: 0.709, loss: 0.566 | Test-acc: 0.709 | time: 6.6 | Speed: 335.13 samples/sec | lr: 0.00017798
[Epoch 77] Train-acc: 0.719, loss: 0.566 | Test-acc: 0.730 | time: 6.6 | Speed: 332.76 samples/sec | lr: 0.00017798
[Epoch 78] Train-acc: 0.726, loss: 0.546 | Test-acc: 0.696 | time: 6.6 | Speed: 331.82 samples/sec | lr: 0.00017798
[Epoch 79] Train-acc: 0.728, loss: 0.551 | Test-acc: 0.714 | time: 6.6 | Speed: 335.19 samples/sec | lr: 0.00017798
[Epoch 80] Train-acc: 0.717, loss: 0.557 | Test-acc: 0.700 | time: 6.7 | Speed: 328.61 samples/sec | lr: 0.00017798
[Epoch 81] Train-acc: 0.709, loss: 0.570 | Test-acc: 0.705 | time: 6.7 | Speed: 330.69 samples/sec | lr: 0.00017798
[Epoch 82] Train-acc: 0.714, loss: 0.556 | Test-acc: 0.705 | time: 6.6 | Speed: 332.47 samples/sec | lr: 0.00017798
[Epoch 83] Train-acc: 0.714, loss: 0.561 | Test-acc: 0.687 | time: 6.8 | Speed: 323.20 samples/sec | lr: 0.00017798
[Epoch 84] Train-acc: 0.717, loss: 0.565 | Test-acc: 0.701 | time: 6.7 | Speed: 327.06 samples/sec | lr: 0.00017798
[Epoch 85] Train-acc: 0.717, loss: 0.550 | Test-acc: 0.689 | time: 6.6 | Speed: 332.11 samples/sec | lr: 0.00017798
[Epoch 86] Train-acc: 0.709, loss: 0.565 | Test-acc: 0.691 | time: 6.5 | Speed: 337.17 samples/sec | lr: 0.00017798
[Epoch 87] Train-acc: 0.711, loss: 0.566 | Test-acc: 0.696 | time: 6.6 | Speed: 330.93 samples/sec | lr: 0.00017798
[Epoch 88] Train-acc: 0.707, loss: 0.565 | Test-acc: 0.673 | time: 6.6 | Speed: 332.82 samples/sec | lr: 0.00017798
[Epoch 89] Train-acc: 0.726, loss: 0.549 | Test-acc: 0.723 | time: 6.6 | Speed: 330.89 samples/sec | lr: 0.00017798
[Epoch 90] Train-acc: 0.713, loss: 0.562 | Test-acc: 0.700 | time: 6.7 | Speed: 326.36 samples/sec | lr: 0.00017798
[Epoch 91] Train-acc: 0.718, loss: 0.546 | Test-acc: 0.716 | time: 6.6 | Speed: 331.66 samples/sec | lr: 0.00017798
[Epoch 92] Train-acc: 0.723, loss: 0.546 | Test-acc: 0.689 | time: 6.6 | Speed: 334.97 samples/sec | lr: 0.00017798
[Epoch 93] Train-acc: 0.735, loss: 0.531 | Test-acc: 0.698 | time: 6.7 | Speed: 328.98 samples/sec | lr: 0.00017798
[Epoch 94] Train-acc: 0.711, loss: 0.551 | Test-acc: 0.703 | time: 6.6 | Speed: 330.94 samples/sec | lr: 0.00017798
[Epoch 95] Train-acc: 0.718, loss: 0.554 | Test-acc: 0.696 | time: 6.6 | Speed: 335.13 samples/sec | lr: 0.00017798
[Epoch 96] Train-acc: 0.718, loss: 0.551 | Test-acc: 0.709 | time: 6.5 | Speed: 337.56 samples/sec | lr: 0.00017798
[Epoch 97] Train-acc: 0.717, loss: 0.558 | Test-acc: 0.700 | time: 6.6 | Speed: 335.59 samples/sec | lr: 0.00017798
[Epoch 98] Train-acc: 0.724, loss: 0.540 | Test-acc: 0.709 | time: 6.7 | Speed: 330.05 samples/sec | lr: 0.00017798
[Epoch 99] Train-acc: 0.723, loss: 0.557 | Test-acc: 0.712 | time: 6.7 | Speed: 327.08 samples/sec | lr: 0.00017798
[Epoch 100] Train-acc: 0.708, loss: 0.564 | Test-acc: 0.714 | time: 6.7 | Speed: 330.22 samples/sec | lr: 0.00017798
[Epoch 101] Train-acc: 0.725, loss: 0.553 | Test-acc: 0.709 | time: 6.6 | Speed: 334.56 samples/sec | lr: 0.00017798
[Epoch 102] Train-acc: 0.713, loss: 0.555 | Test-acc: 0.721 | time: 6.5 | Speed: 336.29 samples/sec | lr: 0.00017798
[Epoch 103] Train-acc: 0.717, loss: 0.551 | Test-acc: 0.712 | time: 6.7 | Speed: 326.88 samples/sec | lr: 0.00017798
[Epoch 104] Train-acc: 0.722, loss: 0.547 | Test-acc: 0.701 | time: 6.7 | Speed: 329.92 samples/sec | lr: 0.00017798
[Epoch 105] Train-acc: 0.733, loss: 0.541 | Test-acc: 0.719 | time: 6.8 | Speed: 323.45 samples/sec | lr: 0.00017798
[Epoch 106] Train-acc: 0.730, loss: 0.544 | Test-acc: 0.698 | time: 6.8 | Speed: 321.38 samples/sec | lr: 0.00017798
[Epoch 107] Train-acc: 0.723, loss: 0.548 | Test-acc: 0.685 | time: 6.7 | Speed: 329.35 samples/sec | lr: 0.00017798
[Epoch 108] Train-acc: 0.727, loss: 0.541 | Test-acc: 0.701 | time: 6.6 | Speed: 335.01 samples/sec | lr: 0.00017798
[Epoch 109] Train-acc: 0.719, loss: 0.550 | Test-acc: 0.703 | time: 6.8 | Speed: 325.00 samples/sec | lr: 0.00017798
[Epoch 110] Train-acc: 0.730, loss: 0.542 | Test-acc: 0.703 | time: 6.8 | Speed: 325.82 samples/sec | lr: 0.00013348
[Epoch 111] Train-acc: 0.721, loss: 0.549 | Test-acc: 0.718 | time: 6.7 | Speed: 327.24 samples/sec | lr: 0.00013348
[Epoch 112] Train-acc: 0.719, loss: 0.541 | Test-acc: 0.705 | time: 6.6 | Speed: 331.16 samples/sec | lr: 0.00013348
[Epoch 113] Train-acc: 0.712, loss: 0.549 | Test-acc: 0.709 | time: 6.9 | Speed: 320.95 samples/sec | lr: 0.00013348
[Epoch 114] Train-acc: 0.718, loss: 0.551 | Test-acc: 0.723 | time: 6.6 | Speed: 333.18 samples/sec | lr: 0.00013348
[Epoch 115] Train-acc: 0.726, loss: 0.542 | Test-acc: 0.714 | time: 6.6 | Speed: 335.24 samples/sec | lr: 0.00013348
[Epoch 116] Train-acc: 0.741, loss: 0.529 | Test-acc: 0.694 | time: 6.7 | Speed: 330.26 samples/sec | lr: 0.00013348
[Epoch 117] Train-acc: 0.730, loss: 0.536 | Test-acc: 0.714 | time: 6.7 | Speed: 328.86 samples/sec | lr: 0.00013348
[Epoch 118] Train-acc: 0.724, loss: 0.541 | Test-acc: 0.721 | time: 6.7 | Speed: 330.62 samples/sec | lr: 0.00013348
[Epoch 119] Train-acc: 0.724, loss: 0.538 | Test-acc: 0.691 | time: 6.8 | Speed: 323.79 samples/sec | lr: 0.00013348
[Epoch 120] Train-acc: 0.723, loss: 0.550 | Test-acc: 0.727 | time: 6.7 | Speed: 326.20 samples/sec | lr: 0.00013348
[Epoch 121] Train-acc: 0.735, loss: 0.531 | Test-acc: 0.710 | time: 6.7 | Speed: 327.30 samples/sec | lr: 0.00013348
[Epoch 122] Train-acc: 0.728, loss: 0.541 | Test-acc: 0.714 | time: 6.7 | Speed: 330.39 samples/sec | lr: 0.00013348
[Epoch 123] Train-acc: 0.735, loss: 0.525 | Test-acc: 0.723 | time: 6.6 | Speed: 334.34 samples/sec | lr: 0.00013348
[Epoch 124] Train-acc: 0.720, loss: 0.541 | Test-acc: 0.712 | time: 6.6 | Speed: 331.03 samples/sec | lr: 0.00013348
[Epoch 125] Train-acc: 0.745, loss: 0.519 | Test-acc: 0.703 | time: 6.8 | Speed: 323.42 samples/sec | lr: 0.00013348
[Epoch 126] Train-acc: 0.738, loss: 0.531 | Test-acc: 0.703 | time: 6.7 | Speed: 330.11 samples/sec | lr: 0.00013348
[Epoch 127] Train-acc: 0.731, loss: 0.537 | Test-acc: 0.718 | time: 6.7 | Speed: 328.19 samples/sec | lr: 0.00013348
[Epoch 128] Train-acc: 0.735, loss: 0.532 | Test-acc: 0.719 | time: 6.7 | Speed: 328.58 samples/sec | lr: 0.00013348
[Epoch 129] Train-acc: 0.726, loss: 0.538 | Test-acc: 0.703 | time: 6.8 | Speed: 321.24 samples/sec | lr: 0.00013348
[Epoch 130] Train-acc: 0.742, loss: 0.533 | Test-acc: 0.714 | time: 6.7 | Speed: 326.56 samples/sec | lr: 0.00013348
[Epoch 131] Train-acc: 0.735, loss: 0.527 | Test-acc: 0.718 | time: 6.6 | Speed: 335.49 samples/sec | lr: 0.00013348
[Epoch 132] Train-acc: 0.731, loss: 0.537 | Test-acc: 0.718 | time: 6.7 | Speed: 329.52 samples/sec | lr: 0.00013348
[Epoch 133] Train-acc: 0.753, loss: 0.523 | Test-acc: 0.714 | time: 6.7 | Speed: 328.74 samples/sec | lr: 0.00013348
[Epoch 134] Train-acc: 0.740, loss: 0.531 | Test-acc: 0.714 | time: 6.6 | Speed: 331.94 samples/sec | lr: 0.00013348
[Epoch 135] Train-acc: 0.730, loss: 0.547 | Test-acc: 0.718 | time: 6.6 | Speed: 335.85 samples/sec | lr: 0.00013348
[Epoch 136] Train-acc: 0.733, loss: 0.534 | Test-acc: 0.721 | time: 6.7 | Speed: 328.48 samples/sec | lr: 0.00013348
[Epoch 137] Train-acc: 0.728, loss: 0.538 | Test-acc: 0.716 | time: 6.6 | Speed: 335.68 samples/sec | lr: 0.00013348
[Epoch 138] Train-acc: 0.737, loss: 0.527 | Test-acc: 0.725 | time: 6.7 | Speed: 327.38 samples/sec | lr: 0.00013348
[Epoch 139] Train-acc: 0.740, loss: 0.530 | Test-acc: 0.718 | time: 6.6 | Speed: 332.40 samples/sec | lr: 0.00013348
[Epoch 140] Train-acc: 0.732, loss: 0.524 | Test-acc: 0.696 | time: 6.8 | Speed: 323.56 samples/sec | lr: 0.00013348
[Epoch 141] Train-acc: 0.722, loss: 0.544 | Test-acc: 0.716 | time: 6.7 | Speed: 329.64 samples/sec | lr: 0.00013348
[Epoch 142] Train-acc: 0.716, loss: 0.544 | Test-acc: 0.716 | time: 6.7 | Speed: 327.52 samples/sec | lr: 0.00013348
[Epoch 143] Train-acc: 0.736, loss: 0.525 | Test-acc: 0.725 | time: 6.7 | Speed: 329.52 samples/sec | lr: 0.00013348
[Epoch 144] Train-acc: 0.727, loss: 0.538 | Test-acc: 0.696 | time: 6.6 | Speed: 333.64 samples/sec | lr: 0.00013348
[Epoch 145] Train-acc: 0.725, loss: 0.531 | Test-acc: 0.700 | time: 6.7 | Speed: 328.46 samples/sec | lr: 0.00013348
[Epoch 146] Train-acc: 0.746, loss: 0.517 | Test-acc: 0.712 | time: 6.7 | Speed: 327.31 samples/sec | lr: 0.00013348
[Epoch 147] Train-acc: 0.748, loss: 0.517 | Test-acc: 0.721 | time: 6.7 | Speed: 329.20 samples/sec | lr: 0.00013348
[Epoch 148] Train-acc: 0.741, loss: 0.518 | Test-acc: 0.714 | time: 6.7 | Speed: 328.88 samples/sec | lr: 0.00013348
[Epoch 149] Train-acc: 0.739, loss: 0.525 | Test-acc: 0.712 | time: 6.7 | Speed: 326.62 samples/sec | lr: 0.00013348
[Epoch 150] Train-acc: 0.735, loss: 0.527 | Test-acc: 0.718 | time: 6.6 | Speed: 335.31 samples/sec | lr: 0.00010011
[Epoch 151] Train-acc: 0.734, loss: 0.523 | Test-acc: 0.707 | time: 6.8 | Speed: 325.13 samples/sec | lr: 0.00010011
[Epoch 152] Train-acc: 0.741, loss: 0.525 | Test-acc: 0.721 | time: 6.7 | Speed: 330.22 samples/sec | lr: 0.00010011
[Epoch 153] Train-acc: 0.748, loss: 0.518 | Test-acc: 0.710 | time: 6.8 | Speed: 323.29 samples/sec | lr: 0.00010011
[Epoch 154] Train-acc: 0.746, loss: 0.521 | Test-acc: 0.698 | time: 6.5 | Speed: 337.61 samples/sec | lr: 0.00010011
[Epoch 155] Train-acc: 0.743, loss: 0.520 | Test-acc: 0.714 | time: 6.8 | Speed: 325.33 samples/sec | lr: 0.00010011
[Epoch 156] Train-acc: 0.750, loss: 0.512 | Test-acc: 0.703 | time: 6.8 | Speed: 321.57 samples/sec | lr: 0.00010011
[Epoch 157] Train-acc: 0.745, loss: 0.520 | Test-acc: 0.710 | time: 6.7 | Speed: 327.08 samples/sec | lr: 0.00010011
[Epoch 158] Train-acc: 0.738, loss: 0.518 | Test-acc: 0.703 | time: 6.6 | Speed: 331.39 samples/sec | lr: 0.00010011
[Epoch 159] Train-acc: 0.729, loss: 0.527 | Test-acc: 0.732 | time: 6.7 | Speed: 329.08 samples/sec | lr: 0.00010011
