Namespace(batch_norm=False, batch_size=128, crop_ratio=0.875, data_dir='~/.mxnet/datasets/imagenet', dtype='float16', hard_weight=0.5, input_size=224, label_smoothing=True, last_gamma=False, log_interval=200, logging_file='mobilenet0.25.log', lr=0.4, lr_decay=0.1, lr_decay_epoch='40,60', lr_decay_period=0, lr_mode='cosine', mixup=False, mixup_alpha=0.2, mixup_off_epoch=0, mode='hybrid', model='mobilenet0.25', momentum=0.9, no_wd=True, num_epochs=120, num_gpus=1, num_workers=8, rec_train='~/.mxnet/datasets/imagenet/rec/train.rec', rec_train_idx='~/.mxnet/datasets/imagenet/rec/train.idx', rec_val='~/.mxnet/datasets/imagenet/rec/val.rec', rec_val_idx='~/.mxnet/datasets/imagenet/rec/val.idx', resume_epoch=0, resume_params='', resume_states='', save_dir='params_mobilenet0.25', save_frequency=10, teacher=None, temperature=20, use_gn=False, use_pretrained=False, use_rec=False, use_se=False, warmup_epochs=5, warmup_lr=0.0, wd=0.0001)
[Epoch 3] speed: 1004 samples/sec	time cost: 1307.359084
[Epoch 3] validation: err-top1=0.854820 err-top5=0.665540
Epoch[4] Batch [199]	Speed: 973.602998 samples/sec	accuracy=0.160781	lr=0.321605
Epoch[4] Batch [399]	Speed: 1027.203555 samples/sec	accuracy=0.161309	lr=0.323204
Epoch[4] Batch [599]	Speed: 986.300024 samples/sec	accuracy=0.161758	lr=0.324802
Epoch[4] Batch [799]	Speed: 1019.872951 samples/sec	accuracy=0.162441	lr=0.326401
Epoch[4] Batch [999]	Speed: 1025.216845 samples/sec	accuracy=0.162398	lr=0.327999
Epoch[4] Batch [1199]	Speed: 995.593683 samples/sec	accuracy=0.162350	lr=0.329598
Epoch[4] Batch [1399]	Speed: 993.570170 samples/sec	accuracy=0.161892	lr=0.331197
Epoch[4] Batch [1599]	Speed: 1022.706402 samples/sec	accuracy=0.161592	lr=0.332795
Epoch[4] Batch [1799]	Speed: 981.821730 samples/sec	accuracy=0.161306	lr=0.334394
Epoch[4] Batch [1999]	Speed: 995.232297 samples/sec	accuracy=0.160746	lr=0.335992
Epoch[4] Batch [2199]	Speed: 933.622304 samples/sec	accuracy=0.160621	lr=0.337591
Epoch[4] Batch [2399]	Speed: 1046.907379 samples/sec	accuracy=0.160602	lr=0.339190
Epoch[4] Batch [2599]	Speed: 1024.649386 samples/sec	accuracy=0.160466	lr=0.340788
Epoch[4] Batch [2799]	Speed: 1034.904707 samples/sec	accuracy=0.160419	lr=0.342387
Epoch[4] Batch [2999]	Speed: 1008.548076 samples/sec	accuracy=0.160107	lr=0.343985
Epoch[4] Batch [3199]	Speed: 1025.121853 samples/sec	accuracy=0.160142	lr=0.345584
Epoch[4] Batch [3399]	Speed: 1021.025666 samples/sec	accuracy=0.159926	lr=0.347182
Epoch[4] Batch [3599]	Speed: 1047.437117 samples/sec	accuracy=0.159885	lr=0.348781
Epoch[4] Batch [3799]	Speed: 1035.834877 samples/sec	accuracy=0.159731	lr=0.350380
Epoch[4] Batch [3999]	Speed: 1025.027358 samples/sec	accuracy=0.159520	lr=0.351978
Epoch[4] Batch [4199]	Speed: 1017.230489 samples/sec	accuracy=0.159135	lr=0.353577
Epoch[4] Batch [4399]	Speed: 1014.132083 samples/sec	accuracy=0.159007	lr=0.355175
Epoch[4] Batch [4599]	Speed: 1020.581916 samples/sec	accuracy=0.159047	lr=0.356774
