Namespace(batch_size=64, data='/media/atsg/Data/datasets/SUN_ARM_project', input_sz=112, lr=0.001, lr_factor=0.75, model='mobilenet0.25', momentum=0.9, num_class=2, num_gpus=1, num_workers=4, wd=0.0001)
[Epoch 102] Train-acc: 0.959, loss: 0.118 | Test-acc: 0.806 | time: 4.6 | Speed: 478.62 samples/sec | lr: 0.00017798
[Epoch 103] Train-acc: 0.947, loss: 0.134 | Test-acc: 0.815 | time: 4.6 | Speed: 482.49 samples/sec | lr: 0.00017798
[Epoch 104] Train-acc: 0.950, loss: 0.125 | Test-acc: 0.806 | time: 4.7 | Speed: 468.89 samples/sec | lr: 0.00017798
[Epoch 105] Train-acc: 0.951, loss: 0.133 | Test-acc: 0.799 | time: 4.6 | Speed: 481.48 samples/sec | lr: 0.00017798
[Epoch 106] Train-acc: 0.954, loss: 0.119 | Test-acc: 0.802 | time: 4.7 | Speed: 469.65 samples/sec | lr: 0.00017798
[Epoch 107] Train-acc: 0.949, loss: 0.133 | Test-acc: 0.811 | time: 4.7 | Speed: 471.67 samples/sec | lr: 0.00017798
[Epoch 108] Train-acc: 0.951, loss: 0.120 | Test-acc: 0.799 | time: 4.6 | Speed: 474.66 samples/sec | lr: 0.00017798
[Epoch 109] Train-acc: 0.954, loss: 0.113 | Test-acc: 0.799 | time: 4.7 | Speed: 469.88 samples/sec | lr: 0.00017798
[Epoch 110] Train-acc: 0.960, loss: 0.109 | Test-acc: 0.799 | time: 4.7 | Speed: 465.81 samples/sec | lr: 0.00013348
[Epoch 111] Train-acc: 0.959, loss: 0.109 | Test-acc: 0.800 | time: 4.7 | Speed: 465.82 samples/sec | lr: 0.00013348
[Epoch 112] Train-acc: 0.957, loss: 0.111 | Test-acc: 0.802 | time: 4.5 | Speed: 489.36 samples/sec | lr: 0.00013348
[Epoch 113] Train-acc: 0.957, loss: 0.114 | Test-acc: 0.806 | time: 4.8 | Speed: 458.25 samples/sec | lr: 0.00013348
[Epoch 114] Train-acc: 0.955, loss: 0.115 | Test-acc: 0.802 | time: 4.6 | Speed: 478.81 samples/sec | lr: 0.00013348
[Epoch 115] Train-acc: 0.960, loss: 0.114 | Test-acc: 0.802 | time: 4.6 | Speed: 481.77 samples/sec | lr: 0.00013348
[Epoch 116] Train-acc: 0.955, loss: 0.120 | Test-acc: 0.802 | time: 4.6 | Speed: 477.75 samples/sec | lr: 0.00013348
[Epoch 117] Train-acc: 0.954, loss: 0.118 | Test-acc: 0.808 | time: 4.6 | Speed: 479.64 samples/sec | lr: 0.00013348
